ID Academic Rank,Academic Rank,ID Gender,Gender,ID Year,Year,ID University,University,Total Instructional Employees,Slug University,share
4,"Instructor",1,"Male",2017,"2017","167358","Northeastern University",174,"northeastern-university",0.1332312404287902
3,"Assistant professor",2,"Female",2017,"2017","167358","Northeastern University",68,"northeastern-university",0.05206738131699847
3,"Assistant professor",1,"Male",2017,"2017","167358","Northeastern University",113,"northeastern-university",0.08652373660030628
5,"Lecturer",1,"Male",2017,"2017","167358","Northeastern University",41,"northeastern-university",0.03139356814701378
2,"Associate professor",2,"Female",2017,"2017","167358","Northeastern University",103,"northeastern-university",0.07886676875957122
5,"Lecturer",2,"Female",2017,"2017","167358","Northeastern University",26,"northeastern-university",0.019908116385911178
4,"Instructor",2,"Female",2017,"2017","167358","Northeastern University",191,"northeastern-university",0.14624808575803983
2,"Associate professor",1,"Male",2017,"2017","167358","Northeastern University",151,"northeastern-university",0.11562021439509954
6,"No academic rank",1,"Male",2017,"2017","167358","Northeastern University",25,"northeastern-university",0.01914241960183767
1,"Professor",2,"Female",2017,"2017","167358","Northeastern University",93,"northeastern-university",0.07120980091883614
6,"No academic rank",2,"Female",2017,"2017","167358","Northeastern University",71,"northeastern-university",0.05436447166921899
1,"Professor",1,"Male",2017,"2017","167358","Northeastern University",250,"northeastern-university",0.19142419601837674
5,"Lecturer",1,"Male",2016,"2016","167358","Northeastern University",46,"northeastern-university",0.03647898493259318
1,"Professor",1,"Male",2016,"2016","167358","Northeastern University",243,"northeastern-university",0.19270420301348137
6,"No academic rank",1,"Male",2016,"2016","167358","Northeastern University",29,"northeastern-university",0.022997620935765267
3,"Assistant professor",1,"Male",2016,"2016","167358","Northeastern University",107,"northeastern-university",0.08485329103885805
2,"Associate professor",1,"Male",2016,"2016","167358","Northeastern University",164,"northeastern-university",0.13005551149881048
3,"Assistant professor",2,"Female",2016,"2016","167358","Northeastern University",69,"northeastern-university",0.05471847739888977
6,"No academic rank",2,"Female",2016,"2016","167358","Northeastern University",71,"northeastern-university",0.056304520222045996
5,"Lecturer",2,"Female",2016,"2016","167358","Northeastern University",29,"northeastern-university",0.022997620935765267
1,"Professor",2,"Female",2016,"2016","167358","Northeastern University",85,"northeastern-university",0.06740681998413957
4,"Instructor",2,"Female",2016,"2016","167358","Northeastern University",165,"northeastern-university",0.1308485329103886
4,"Instructor",1,"Male",2016,"2016","167358","Northeastern University",147,"northeastern-university",0.11657414750198256
2,"Associate professor",2,"Female",2016,"2016","167358","Northeastern University",106,"northeastern-university",0.08406026962727994
4,"Instructor",1,"Male",2015,"2015","167358","Northeastern University",103,"northeastern-university",0.08340080971659919
2,"Associate professor",1,"Male",2015,"2015","167358","Northeastern University",157,"northeastern-university",0.12712550607287448
3,"Assistant professor",2,"Female",2015,"2015","167358","Northeastern University",78,"northeastern-university",0.06315789473684211
6,"No academic rank",2,"Female",2015,"2015","167358","Northeastern University",75,"northeastern-university",0.06072874493927125
4,"Instructor",2,"Female",2015,"2015","167358","Northeastern University",113,"northeastern-university",0.09149797570850203
2,"Associate professor",2,"Female",2015,"2015","167358","Northeastern University",104,"northeastern-university",0.08421052631578947
3,"Assistant professor",1,"Male",2015,"2015","167358","Northeastern University",107,"northeastern-university",0.08663967611336032
1,"Professor",2,"Female",2015,"2015","167358","Northeastern University",82,"northeastern-university",0.06639676113360324
6,"No academic rank",1,"Male",2015,"2015","167358","Northeastern University",39,"northeastern-university",0.031578947368421054
5,"Lecturer",1,"Male",2015,"2015","167358","Northeastern University",71,"northeastern-university",0.05748987854251012
5,"Lecturer",2,"Female",2015,"2015","167358","Northeastern University",52,"northeastern-university",0.042105263157894736
1,"Professor",1,"Male",2015,"2015","167358","Northeastern University",254,"northeastern-university",0.20566801619433198
1,"Professor",1,"Male",2014,"2014","167358","Northeastern University",255,"northeastern-university",0.21573604060913706
3,"Assistant professor",2,"Female",2014,"2014","167358","Northeastern University",76,"northeastern-university",0.06429780033840947
1,"Professor",2,"Female",2014,"2014","167358","Northeastern University",76,"northeastern-university",0.06429780033840947
5,"Lecturer",1,"Male",2014,"2014","167358","Northeastern University",59,"northeastern-university",0.04991539763113367
3,"Assistant professor",1,"Male",2014,"2014","167358","Northeastern University",100,"northeastern-university",0.08460236886632826
6,"No academic rank",2,"Female",2014,"2014","167358","Northeastern University",179,"northeastern-university",0.15143824027072758
5,"Lecturer",2,"Female",2014,"2014","167358","Northeastern University",46,"northeastern-university",0.038917089678511
6,"No academic rank",1,"Male",2014,"2014","167358","Northeastern University",127,"northeastern-university",0.10744500846023688
2,"Associate professor",1,"Male",2014,"2014","167358","Northeastern University",163,"northeastern-university",0.13790186125211507
2,"Associate professor",2,"Female",2014,"2014","167358","Northeastern University",101,"northeastern-university",0.08544839255499154
6,"No academic rank",2,"Female",2013,"2013","167358","Northeastern University",166,"northeastern-university",0.14625550660792952
2,"Associate professor",1,"Male",2013,"2013","167358","Northeastern University",160,"northeastern-university",0.14096916299559473
5,"Lecturer",1,"Male",2013,"2013","167358","Northeastern University",56,"northeastern-university",0.04933920704845815
2,"Associate professor",2,"Female",2013,"2013","167358","Northeastern University",104,"northeastern-university",0.09162995594713656
1,"Professor",2,"Female",2013,"2013","167358","Northeastern University",70,"northeastern-university",0.06167400881057269
6,"No academic rank",1,"Male",2013,"2013","167358","Northeastern University",105,"northeastern-university",0.09251101321585903
3,"Assistant professor",2,"Female",2013,"2013","167358","Northeastern University",77,"northeastern-university",0.06784140969162995
1,"Professor",1,"Male",2013,"2013","167358","Northeastern University",247,"northeastern-university",0.21762114537444935
5,"Lecturer",2,"Female",2013,"2013","167358","Northeastern University",47,"northeastern-university",0.04140969162995595
3,"Assistant professor",1,"Male",2013,"2013","167358","Northeastern University",103,"northeastern-university",0.0907488986784141
6,"No academic rank",2,"Female",2012,"2012","167358","Northeastern University",186,"northeastern-university",0.16607142857142856
3,"Assistant professor",1,"Male",2012,"2012","167358","Northeastern University",96,"northeastern-university",0.08571428571428572
5,"Lecturer",2,"Female",2012,"2012","167358","Northeastern University",43,"northeastern-university",0.038392857142857145
2,"Associate professor",1,"Male",2012,"2012","167358","Northeastern University",155,"northeastern-university",0.13839285714285715
1,"Professor",1,"Male",2012,"2012","167358","Northeastern University",243,"northeastern-university",0.21696428571428572
6,"No academic rank",1,"Male",2012,"2012","167358","Northeastern University",113,"northeastern-university",0.10089285714285715
1,"Professor",2,"Female",2012,"2012","167358","Northeastern University",69,"northeastern-university",0.06160714285714286
2,"Associate professor",2,"Female",2012,"2012","167358","Northeastern University",99,"northeastern-university",0.08839285714285715
5,"Lecturer",1,"Male",2012,"2012","167358","Northeastern University",48,"northeastern-university",0.04285714285714286
3,"Assistant professor",2,"Female",2012,"2012","167358","Northeastern University",68,"northeastern-university",0.060714285714285714