ID Year,Year,ID University,University,Median Total Salaries,Median Total Expenses,Slug University,share
2017,"2017","167358","Northeastern University",479898000,1102049000,"northeastern-university",0.4354597663080317
2017,"2017","DOC","Doctoral Universities",214556685.5,502737586,"doctoral-universities",0.42677669518825273
2017,"2017","15","Doctoral Universities: Highest Research Activity",648712764,1520343139,"doctoral-universities-highest-research-activity",0.42668838853489904
2016,"2016","167358","Northeastern University",451042545,1043002000,"northeastern-university",0.4324464814065553
2016,"2016","DOC","Doctoral Universities",201256060.5,489964801,"doctoral-universities",0.41075616062468945
2016,"2016","15","Doctoral Universities: Highest Research Activity",629139120,1412062000,"doctoral-universities-highest-research-activity",0.4455463853570169
2015,"2015","167358","Northeastern University",441813687,996069000,"northeastern-university",0.4435573107887104
2015,"2015","15","Doctoral Universities: Highest Research Activity",667360998,1348601157,"doctoral-universities-highest-research-activity",0.49485423806439754
2015,"2015","DOC","Doctoral Universities",205426372,473815595,"doctoral-universities",0.4335576417656747
2014,"2014","15","Doctoral Universities: Highest Research Activity",654605457,1357610880,"doctoral-universities-highest-research-activity",0.48217458083423725
2014,"2014","167358","Northeastern University",413732059,928762000,"northeastern-university",0.44546617863349275
2014,"2014","DOC","Doctoral Universities",202089255,474365500,"doctoral-universities",0.4260201363716375
2013,"2013","DOC","Doctoral Universities",206382291.5,440669992,"doctoral-universities",0.46833752069961687
2013,"2013","15","Doctoral Universities: Highest Research Activity",632800888,1294690483,"doctoral-universities-highest-research-activity",0.4887661540028483
2013,"2013","167358","Northeastern University",385526709,881890000,"northeastern-university",0.4371596332875982
2012,"2012","167358","Northeastern University",357637545,827220000,"northeastern-university",0.43233667585406543
2012,"2012","15","Doctoral Universities: Highest Research Activity",601521326,1215189193,"doctoral-universities-highest-research-activity",0.49500220168597237
2012,"2012","DOC","Doctoral Universities",200038313,419466716,"doctoral-universities",0.4768872126674289